formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
(plt - rbc) / (wbc + 0.01),0.5382,0.0115,0.0113,0.8452,0.0223,0.0535,0.013,0.0116,0.0117,seeded,0.3,t1d,2026-06-21T12:13:02.900357,3
(hgb + 0.01) * (mch + 0.01) * (plt + 0.01),0.5519,0.0115,0.0118,0.5,0.023,0.0539,0.0109,0.0126,0.0123,seeded,0.7,t1d,2026-06-21T12:13:02.901372,3
hct * (plt / (wbc + 0.01)) * (rdw / 100) * (mchc - mcv) / (mchc + mcv),0.5283,0.0115,0.0113,0.7619,0.0222,0.0532,0.0115,0.0109,0.0113,seeded,1.0,t1d,2026-06-21T12:13:02.902577,6
(hgb - 12) * (plt - 400) * (rdw - 15),0.5367,0.0114,0.0112,0.7857,0.0221,0.053,0.0111,0.012,0.0111,blind,0.7,t1d,2026-06-21T12:13:02.896866,3
(hgb - mchc) / (hct + 0.01),0.5319,0.0113,0.0109,0.75,0.0215,0.0516,0.0102,0.0123,0.0109,seeded,0.3,t1d,2026-06-21T12:13:02.900352,3
(mch - 28) * (mchc - 32) * (mcv - 80) * (plt - 150),0.5281,0.0113,0.0124,0.5595,0.0243,0.0569,0.0123,0.013,0.0111,seeded,0.7,t1d,2026-06-21T12:13:02.902240,4
(hgb - hct) * (plt / (wbc + 1)),0.5311,0.0112,0.0101,0.4762,0.0197,0.0465,0.0104,0.0103,0.0116,blind,1.0,t1d,2026-06-21T12:13:02.899910,4
(hgb - 10) / (mchc - 30) * (plt - 400) * (rdw - 10),0.5097,0.0109,0.0114,0.8452,0.0224,0.0539,0.0104,0.0102,0.0116,blind,0.7,t1d,2026-06-21T12:13:02.896871,4
(hgb - 12) * (rdw - 15) / (mchc - 28),0.5168,0.0109,0.0107,0.619,0.0211,0.0502,0.0104,0.0121,0.011,blind,0.7,t1d,2026-06-21T12:13:02.896544,3
(rdw + hct) / (rbc + 1000000),0.5093,0.0109,0.0105,0.8452,0.0207,0.0499,0.0098,0.0118,0.0104,seeded,1.0,t1d,2026-06-21T12:13:02.903890,3
(hgb - 35) * (hct - 25),0.52,0.0107,0.011,0.8333,0.0216,0.052,0.0098,0.0116,0.0107,seeded,0.7,t1d,2026-06-21T12:13:02.901054,2
(mch - 28) * (rdw + 0.01) / (wbc + 0.01),0.5033,0.0106,0.0114,0.5714,0.0224,0.0528,0.0112,0.0116,0.0103,blind,0.3,t1d,2026-06-21T12:13:02.895181,3
(hgb - 11) * (rdw / (wbc + 0.01)) / (plt + 0.01),0.5024,0.0106,0.0113,0.7976,0.0223,0.0534,0.0083,0.0106,0.0114,blind,0.3,t1d,2026-06-21T12:13:02.894982,4
(rdw + wbc) / (rbc + 0.01),0.5125,0.0104,0.0108,0.8214,0.0214,0.0514,0.0112,0.0114,0.011,seeded,1.0,t1d,2026-06-21T12:13:02.903528,3
hgb * (plt - 1000000) / (1000000 - hgb),0.5009,0.0103,0.0107,0.881,0.0212,0.0511,0.009,0.0106,0.0112,seeded,1.0,t1d,2026-06-21T12:13:02.903880,2
