formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((log(abs(rbc)+1)) - (log(abs(wbc)+1))) / (abs(sqrt(abs(mchc)))+1e-6)) + ((mcv**2))) + (log(abs(plt)+1))) - (hgb)) / (abs(rdw)+1e-6)) - (sqrt(abs(hct)))) / (abs(mch)+1e-6),0.16113744712420672,0.161369,0.001967,0.157515,0.165224,
(log(abs(mch)+1)) / (abs(sqrt(abs(mchc)))+1e-6),0.16102686939704455,0.161333,0.00277,0.155904,0.166762,
(((sqrt(abs(hct))) + ((mchc**2))) - (wbc)) / (abs(mcv)+1e-6),0.16096921107816345,0.161293,0.002522,0.156349,0.166236,
(mchc) / (abs(sqrt(abs(mcv)))+1e-6),0.1607007882078144,0.161017,0.002456,0.156202,0.165831,
(((((((hct**2)) + ((mcv**2))) - (sqrt(abs(mch)))) + (hgb)) + (log(abs(rbc)+1))) / (abs((rdw**2))+1e-6)) / (abs((mchc**2))+1e-6),0.16077612025398064,0.161002,0.001932,0.157214,0.16479,
(((sqrt(abs(hct))) + (mchc)) / (abs((mcv**2))+1e-6)) * (log(abs(rdw)+1)),0.16060227648523775,0.160907,0.002533,0.155942,0.165872,
(sqrt(abs(mchc))) * (log(abs(rdw)+1)),0.16068805238530576,0.160871,0.00186,0.157226,0.164516,
((((((mcv**2)) * ((hct**2))) / (abs((rdw**2))+1e-6)) / (abs((hgb**2))+1e-6)) + (sqrt(abs(rbc)))) - (mchc),0.16057329126177353,0.160775,0.001571,0.157696,0.163854,
(((((mchc**2)) * (log(abs(mch)+1))) - (log(abs(wbc)+1))) - ((mcv**2))) - (sqrt(abs(rdw))),0.16012571511517998,0.160421,0.002792,0.15495,0.165892,
(sqrt(abs(mchc))) - (sqrt(abs(mcv))),0.16002889558802144,0.160368,0.002739,0.154999,0.165737,
((((((((sqrt(abs(plt))) / (abs(wbc)+1e-6)) * (sqrt(abs(rdw)))) / (abs(hct)+1e-6)) + (mch)) * ((rbc**2))) / (abs((hgb**2))+1e-6)) + (mcv)) / (abs(sqrt(abs(mchc)))+1e-6),0.15992135772341748,0.160264,0.002716,0.154941,0.165588,
((((mchc**2)) + (plt)) / (abs(log(abs(hct)+1))+1e-6)) / (abs(mcv)+1e-6),0.15979414526076405,0.160184,0.003198,0.153916,0.166453,
(((((sqrt(abs(plt))) / (abs((hct**2))+1e-6)) / (abs((mcv**2))+1e-6)) - (sqrt(abs(rbc)))) + (mchc)) / (abs(log(abs(mch)+1))+1e-6),0.15971251234714767,0.160079,0.002346,0.155481,0.164677,
(((((log(abs(rdw)+1)) + (hgb)) + ((mcv**2))) - (log(abs(rbc)+1))) + ((hct**2))) / (abs(sqrt(abs(mchc)))+1e-6),0.1596402163389884,0.159913,0.002979,0.154073,0.165752,
((((((((log(abs(hgb)+1)) * (log(abs(wbc)+1))) + ((mchc**2))) + (sqrt(abs(rbc)))) * (log(abs(mch)+1))) - (sqrt(abs(mcv)))) * (rdw)) + (plt)) + (log(abs(hct)+1)),0.1595957187365375,0.159787,0.002024,0.155821,0.163753,
((((((((sqrt(abs(plt))) - (hgb)) / (abs((mch**2))+1e-6)) * (hct)) / (abs(wbc)+1e-6)) / (abs(rbc)+1e-6)) - ((mchc**2))) - (log(abs(mcv)+1))) * (log(abs(rdw)+1)),0.15947800914494784,0.159709,0.001353,0.157057,0.162362,
((mchc**2)) * (log(abs(rdw)+1)),0.15946176043912283,0.159692,0.001355,0.157036,0.162348,
(((hgb**2)) * (sqrt(abs(rdw)))) / (abs((hct**2))+1e-6),0.15942995141479888,0.159686,0.001765,0.156227,0.163146,
