formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
(rbc / hgb) * plt / (rdw + 0.01),0.5118,0.133,0.1437,0.2079,0.1699,0.1908,0.1406,0.13,0.1277,blind,1.0,t2d,2026-05-24T03:10:52.514168,4
hct + mchc - rdw * rbc / (wbc + 0.01),0.5363,0.1325,0.1404,0.6999,0.2339,0.3895,0.1314,0.1431,0.1383,blind,0.3,t2d,2026-05-24T03:10:52.510903,5
plt * (rdw + 10) / (hgb + 0.01),0.5228,0.1323,0.1389,0.4681,0.2142,0.3176,0.1397,0.1381,0.1321,blind,0.7,t2d,2026-05-24T03:10:52.512782,3
(plt - 150) * (rdw - 15) / (hgb + 0.01),0.5316,0.1322,0.1401,0.5597,0.2242,0.3501,0.1339,0.1415,0.1362,blind,1.0,t2d,2026-05-24T03:10:52.515550,3
(hct - hgb) / (mcv + 0.01),0.53,0.132,0.1392,0.6136,0.227,0.365,0.1372,0.1428,0.1343,blind,1.0,t2d,2026-05-24T03:10:52.514954,3
(rdw + plt) / (hgb + 0.01),0.5154,0.1311,0.1379,0.437,0.2097,0.3048,0.14,0.1355,0.1306,blind,1.0,t2d,2026-05-24T03:10:52.514672,3
(hgb + plt) / (rdw + wbc),0.5125,0.1306,0.1279,0.9172,0.2246,0.4106,0.1383,0.1318,0.1295,blind,1.0,t2d,2026-05-24T03:10:52.514686,4
(hgb - 120) * (plt - 150) / (rdw + 0.01),0.5036,0.1303,0.1276,0.9876,0.226,0.4206,0.133,0.128,0.1268,blind,1.0,t2d,2026-05-24T03:10:52.515528,3
rbc * rdw + plt * (mchc + 0.01),0.5069,0.1301,0.1317,0.498,0.2083,0.32,0.1345,0.132,0.1265,blind,0.7,t2d,2026-05-24T03:10:52.512798,4
(hct - 0.3) * (plt + 1000) / (mcv + 0.1),0.5224,0.1299,0.1333,0.7169,0.2248,0.3822,0.1356,0.1399,0.1325,blind,0.7,t2d,2026-05-24T03:10:52.511505,3
(hgb - 12) + (plt - 1000) + (rdw - 15) + (wbc - 4),0.5006,0.1297,0.1274,0.9836,0.2256,0.4197,0.1324,0.1266,0.1265,blind,0.7,t2d,2026-05-24T03:10:52.513306,4
hgb * plt * rdw / (mchc + 0.01),0.5054,0.129,0.1276,0.986,0.2259,0.4203,0.1314,0.1289,0.1271,blind,0.7,t2d,2026-05-24T03:10:52.511497,4
sqrt(mcv) * wbc * plt / (hct + 0.01),0.5062,0.1285,0.1288,0.7571,0.2202,0.3833,0.13,0.1307,0.1288,seeded,1.0,t2d,2026-05-24T03:10:52.520349,4
rdw + plt - mch * mcv / (hct + 0.01),0.5003,0.1279,0.1275,0.9817,0.2257,0.4195,0.1292,0.1259,0.1261,blind,0.3,t2d,2026-05-24T03:10:52.510899,5
(hgb + 0.01) * (rdw + 0.01) / (wbc + 0.01),0.5068,0.1276,0.1299,0.7126,0.2197,0.3756,0.13,0.1295,0.1298,blind,0.7,t2d,2026-05-24T03:10:52.511514,3
(hgb - 12) + (plt - 1000) + (rdw - 15),0.5003,0.1274,0.1286,0.5683,0.2097,0.3375,0.1314,0.1291,0.1261,blind,0.7,t2d,2026-05-24T03:10:52.513293,3
(mcv + mchc) / (wbc * (sqrt(rdw) + plt)),0.5021,0.1272,0.1274,0.8353,0.2212,0.3957,0.1269,0.1292,0.1274,blind,0.7,t2d,2026-05-24T03:10:52.512354,5
hct + hgb - mchc + plt * rdw / (wbc + 0.01),0.5098,0.1262,0.133,0.6522,0.221,0.3663,0.1262,0.1307,0.1318,blind,0.3,t2d,2026-05-24T03:10:52.510885,6
rdw * (hct + 0.05) + wbc * (mchc + 0.05),0.502,0.126,0.1295,0.8032,0.223,0.3936,0.1249,0.1273,0.1285,blind,0.7,t2d,2026-05-24T03:10:52.512791,4
sqrt(rdw) * plt / (wbc + 0.01),0.5053,0.1252,0.1309,0.6517,0.2181,0.363,0.1236,0.1277,0.1306,seeded,1.0,t2d,2026-05-24T03:10:52.520337,3
(plt + 0.05) / (wbc + 0.01),0.5018,0.1251,0.1289,0.9008,0.2255,0.4098,0.1229,0.1291,0.1296,blind,1.0,t2d,2026-05-24T03:10:52.514184,2
