formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
plt * rbc / (hgb + 0.01),0.5013,0.0068,0.006,0.3333,0.0118,0.0279,0.0061,0.0056,0.0052,seeded,0.7,psr,2026-05-24T02:57:03.486565,3
hct * hgb - mchc * rdw,0.5607,0.0068,0.0064,0.6605,0.0126,0.0307,0.0066,0.0068,0.0059,blind,0.7,psr,2026-05-24T02:57:03.482504,4
(plt - 150) * (hct - 35) / (mcv + 1),0.5199,0.0068,0.0064,0.5123,0.0127,0.0305,0.0061,0.006,0.0055,blind,0.7,psr,2026-05-24T02:57:03.482384,3
(hgb + mchc) / (rdw + plt),0.5009,0.0068,0.0063,0.284,0.0123,0.0288,0.0064,0.0056,0.0052,blind,0.7,psr,2026-05-24T02:57:03.482788,4
(hgb + 0.01) / (rdw + 0.01) * plt,0.5055,0.0067,0.0065,0.1914,0.0126,0.0286,0.0063,0.0059,0.0051,blind,0.7,psr,2026-05-24T02:57:03.482047,3
(rdw * plt + mchc) / (hgb + (0.01*wbc)),0.5164,0.0067,0.0076,0.0309,0.0122,0.0191,0.0071,0.0057,0.0055,seeded,1.0,psr,2026-05-24T02:57:03.488212,5
sqrt(hct) * sqrt(mchc) * plt / (hgb + 0.01),0.5069,0.0066,0.0075,0.0741,0.0135,0.0266,0.0067,0.0056,0.0054,seeded,0.7,psr,2026-05-24T02:57:03.487032,4
rdw * (1 + (wbc - 4) * 0.01),0.5632,0.0066,0.0064,0.8148,0.0126,0.0309,0.0069,0.0062,0.0065,blind,1.0,psr,2026-05-24T02:57:03.483850,2
hct + hgb - mchc,0.559,0.0064,0.0068,0.5741,0.0134,0.0323,0.0069,0.0068,0.0061,blind,0.7,psr,2026-05-24T02:57:03.482500,3
(hgb - 30) * (plt - 150) / (rdw + 1),0.5056,0.0064,0.0069,0.0617,0.0125,0.0239,0.0067,0.0056,0.0053,blind,0.7,psr,2026-05-24T02:57:03.482371,3
hct * hgb * mch * mchc * plt / (rdw + 0.01),0.5055,0.0064,0.0063,0.3519,0.0123,0.0293,0.0059,0.0055,0.0053,blind,0.7,psr,2026-05-24T02:57:03.482045,6
hct * mchc / (rdw + plt + wbc),0.5056,0.0063,0.0054,0.0247,0.0089,0.0144,0.0066,0.0055,0.0054,blind,0.7,psr,2026-05-24T02:57:03.482799,5
(hgb + 0.1) * (mchc + 0.1) * (mcv + 0.1) * (plt + 1000) * (rdw + 30),0.5168,0.0063,0.0057,0.5185,0.0113,0.0273,0.006,0.0058,0.0055,blind,1.0,psr,2026-05-24T02:57:03.483172,5
hct * hgb + plt * 1.2 + rdw,0.5115,0.0062,0.0067,0.2284,0.013,0.0299,0.0063,0.0056,0.0055,blind,0.7,psr,2026-05-24T02:57:03.482508,4
(hgb - 30) * (rdw + 1) / (mchc - 28),0.5463,0.0061,0.0062,0.3827,0.0121,0.029,0.006,0.006,0.0063,blind,0.7,psr,2026-05-24T02:57:03.482380,3
(hct - 30) * (-1) + (hgb - 11) * (-1) + (rdw - 15) * (0.2) + (wbc - 4) * (0.1),0.5373,0.0061,0.0057,1.0,0.0113,0.0277,0.0064,0.0063,0.0057,blind,1.0,psr,2026-05-24T02:57:03.483853,4
wbc * 0.8 + rdw,0.5194,0.006,0.0057,0.8457,0.0114,0.028,0.0059,0.0057,0.0059,blind,0.7,psr,2026-05-24T02:57:03.482506,2
(rdw + 1) * (wbc - 4) / (plt + 100),0.51,0.0059,0.0056,0.4321,0.011,0.0266,0.0053,0.0058,0.0057,blind,0.7,psr,2026-05-24T02:57:03.482377,3
(hct - 30) * (-1) + (hgb - 11) * (-1) + (mch - 28) * (-1) + (mchc - 32) * (-1) + (mcv - 80) * (-1),0.5102,0.0059,0.0055,0.9938,0.011,0.027,0.0057,0.0057,0.0057,blind,1.0,psr,2026-05-24T02:57:03.483844,5
sqrt(rdw) * wbc / (hgb + 0.01),0.5008,0.0057,0.0055,0.5432,0.0108,0.0262,0.006,0.0056,0.0053,seeded,0.7,psr,2026-05-24T02:57:03.487039,3
(hct + 0.1) * (mch + 0.1) * (plt + 1200) * (rdw + 35) * (wbc + 0.2),0.5064,0.0057,0.0052,0.2037,0.0102,0.0237,0.0051,0.0057,0.0058,blind,1.0,psr,2026-05-24T02:57:03.483181,5
(hct + 0.1) * (hgb + 0.1) * (mch + 0.1) * (plt + 500) * (rdw + 20),0.5044,0.0056,0.0055,1.0,0.011,0.0271,0.0059,0.0058,0.0054,blind,1.0,psr,2026-05-24T02:57:03.483169,5
(hgb - 0.2) * (hct - 0.3) * rdw,0.5098,0.0055,0.0055,1.0,0.011,0.0271,0.0059,0.0058,0.0057,blind,1.0,psr,2026-05-24T02:57:03.483464,3
